Maximum at t = 303.27, mx = 0.83
Maximum at t = 303.70, mx = 0.88
Maximum at t = 304.50, mx = 0.85
Maximum at t = 304.98, mx = 0.89
Maximum at t = 305.78, mx = 0.86
Maximum at t = 306.21, mx = 0.90
Maximum at t = 307.06, mx = 0.85
Maximum at t = 307.43, mx = 0.89
Maximum at t = 308.34, mx = 0.84
Maximum at t = 308.71, mx = 0.87
Maximum at t = 309.94, mx = 0.84
Maximum at t = 311.22, mx = 0.82
Maximum at t = 312.50, mx = 0.81
Maximum at t = 313.78, mx = 0.81
Maximum at t = 314.58, mx = 0.76
Maximum at t = 315.01, mx = 0.83
Maximum at t = 315.81, mx = 0.79
Maximum at t = 316.29, mx = 0.85
Maximum at t = 317.09, mx = 0.81
Maximum at t = 317.51, mx = 0.87
Maximum at t = 318.31, mx = 0.83
Maximum at t = 318.79, mx = 0.88
Maximum at t = 319.59, mx = 0.85
Maximum at t = 320.02, mx = 0.89
Maximum at t = 320.87, mx = 0.85
Maximum at t = 321.25, mx = 0.88
Maximum at t = 322.15, mx = 0.84
Maximum at t = 322.53, mx = 0.87
Maximum at t = 323.75, mx = 0.85
Maximum at t = 325.04, mx = 0.83
Maximum at t = 326.32, mx = 0.82
Maximum at t = 327.17, mx = 0.76
Maximum at t = 327.60, mx = 0.81
Maximum at t = 328.40, mx = 0.77
Maximum at t = 328.82, mx = 0.82
Maximum at t = 329.68, mx = 0.78
Maximum at t = 330.10, mx = 0.84
Maximum at t = 330.90, mx = 0.80
Maximum at t = 331.38, mx = 0.86
Maximum at t = 332.18, mx = 0.82
Maximum at t = 332.61, mx = 0.87
Maximum at t = 333.41, mx = 0.83
Maximum at t = 333.84, mx = 0.88
Maximum at t = 334.69, mx = 0.84
Maximum at t = 335.12, mx = 0.88
Maximum at t = 335.97, mx = 0.83
Maximum at t = 336.34, mx = 0.87
Maximum at t = 337.62, mx = 0.86
Maximum at t = 338.48, mx = 0.80
Maximum at t = 338.85, mx = 0.84
Maximum at t = 340.13, mx = 0.83
Maximum at t = 340.98, mx = 0.77
Maximum at t = 341.41, mx = 0.82
Maximum at t = 342.21, mx = 0.77
Maximum at t = 342.64, mx = 0.83
Maximum at t = 343.49, mx = 0.78
Maximum at t = 343.92, mx = 0.84
Maximum at t = 344.72, mx = 0.80
Maximum at t = 345.20, mx = 0.85
Maximum at t = 346.00, mx = 0.81
Maximum at t = 346.42, mx = 0.86
Maximum at t = 347.28, mx = 0.83
Maximum at t = 347.70, mx = 0.87
Maximum at t = 348.50, mx = 0.83
Maximum at t = 348.93, mx = 0.87
Maximum at t = 349.78, mx = 0.83
Maximum at t = 350.16, mx = 0.87
Maximum at t = 351.06, mx = 0.82
Maximum at t = 351.44, mx = 0.86
Maximum at t = 352.29, mx = 0.81
Maximum at t = 352.66, mx = 0.85
Maximum at t = 353.57, mx = 0.79
Maximum at t = 353.94, mx = 0.84
Maximum at t = 354.80, mx = 0.78
Maximum at t = 355.22, mx = 0.83
Maximum at t = 356.08, mx = 0.78
Maximum at t = 356.45, mx = 0.83
Maximum at t = 357.30, mx = 0.78
Maximum at t = 357.73, mx = 0.84
Maximum at t = 358.58, mx = 0.79
Maximum at t = 359.01, mx = 0.85
Maximum at t = 359.81, mx = 0.81
Maximum at t = 360.24, mx = 0.86
Maximum at t = 361.09, mx = 0.82
Maximum at t = 361.52, mx = 0.87
Maximum at t = 362.32, mx = 0.83
Maximum at t = 362.74, mx = 0.87
Maximum at t = 363.60, mx = 0.83
Maximum at t = 364.02, mx = 0.87
Maximum at t = 364.88, mx = 0.82
Maximum at t = 365.25, mx = 0.86
Maximum at t = 366.10, mx = 0.81
Maximum at t = 366.53, mx = 0.85
Maximum at t = 367.38, mx = 0.80
Maximum at t = 367.76, mx = 0.84
Maximum at t = 369.04, mx = 0.83
Maximum at t = 369.89, mx = 0.78
Maximum at t = 370.32, mx = 0.83
Maximum at t = 371.12, mx = 0.78
Maximum at t = 371.54, mx = 0.84
Maximum at t = 372.40, mx = 0.79
Maximum at t = 372.82, mx = 0.84
Maximum at t = 373.62, mx = 0.80
Maximum at t = 374.05, mx = 0.85
Maximum at t = 374.90, mx = 0.81
Maximum at t = 375.33, mx = 0.86
Maximum at t = 376.19, mx = 0.82
Maximum at t = 376.56, mx = 0.86
Maximum at t = 377.41, mx = 0.82
Maximum at t = 377.84, mx = 0.87
Maximum at t = 378.69, mx = 0.82
Maximum at t = 379.07, mx = 0.86
Maximum at t = 380.35, mx = 0.85
Maximum at t = 381.20, mx = 0.80
Maximum at t = 381.57, mx = 0.84
Maximum at t = 382.85, mx = 0.84
Maximum at t = 383.71, mx = 0.79
Maximum at t = 384.13, mx = 0.84
Maximum at t = 384.99, mx = 0.79
Maximum at t = 385.36, mx = 0.84
Maximum at t = 386.21, mx = 0.79
Maximum at t = 386.64, mx = 0.84
Maximum at t = 387.49, mx = 0.80
Maximum at t = 387.92, mx = 0.85
Maximum at t = 388.72, mx = 0.81
Maximum at t = 389.15, mx = 0.86
Maximum at t = 390.00, mx = 0.81
Maximum at t = 390.43, mx = 0.86
Maximum at t = 391.23, mx = 0.82
Maximum at t = 391.65, mx = 0.86
Maximum at t = 392.51, mx = 0.82
Maximum at t = 392.93, mx = 0.86
Maximum at t = 393.79, mx = 0.81
Maximum at t = 394.16, mx = 0.85
Maximum at t = 395.01, mx = 0.81
Maximum at t = 395.44, mx = 0.85
Maximum at t = 396.29, mx = 0.80
Maximum at t = 396.67, mx = 0.84
Maximum at t = 397.52, mx = 0.79
Maximum at t = 397.95, mx = 0.84
Maximum at t = 398.80, mx = 0.79
Maximum at t = 399.17, mx = 0.84
Maximum at t = 400.03, mx = 0.79
Maximum at t = 400.45, mx = 0.84
Maximum at t = 401.31, mx = 0.80
Maximum at t = 401.73, mx = 0.85
Maximum at t = 402.53, mx = 0.81
Maximum at t = 402.96, mx = 0.85
Maximum at t = 403.81, mx = 0.81
Maximum at t = 404.24, mx = 0.86
Maximum at t = 405.04, mx = 0.81
Maximum at t = 405.47, mx = 0.86
Maximum at t = 406.32, mx = 0.82
Maximum at t = 406.75, mx = 0.86
Maximum at t = 407.60, mx = 0.81
Maximum at t = 407.97, mx = 0.86
Maximum at t = 408.83, mx = 0.81
Maximum at t = 409.25, mx = 0.85
Maximum at t = 410.11, mx = 0.80
Maximum at t = 410.48, mx = 0.84
Maximum at t = 411.33, mx = 0.80
Maximum at t = 411.76, mx = 0.84
Maximum at t = 412.61, mx = 0.79
Maximum at t = 413.04, mx = 0.84
Maximum at t = 413.84, mx = 0.79
Maximum at t = 414.27, mx = 0.84
Maximum at t = 415.12, mx = 0.80
Maximum at t = 415.55, mx = 0.85
Maximum at t = 416.35, mx = 0.80
Maximum at t = 416.77, mx = 0.85
Maximum at t = 417.63, mx = 0.81
Maximum at t = 418.05, mx = 0.86
Maximum at t = 418.91, mx = 0.81
Maximum at t = 419.28, mx = 0.86
Maximum at t = 420.13, mx = 0.81
Maximum at t = 420.56, mx = 0.86
Maximum at t = 421.41, mx = 0.81
Maximum at t = 421.79, mx = 0.85
Maximum at t = 422.64, mx = 0.81
Maximum at t = 423.07, mx = 0.85
Maximum at t = 423.92, mx = 0.80
Maximum at t = 424.35, mx = 0.85
Maximum at t = 425.20, mx = 0.80
Maximum at t = 425.58, mx = 0.84
Maximum at t = 426.43, mx = 0.80
Maximum at t = 426.86, mx = 0.84
Maximum at t = 427.71, mx = 0.80
Maximum at t = 428.08, mx = 0.84
Maximum at t = 428.94, mx = 0.80
Maximum at t = 429.36, mx = 0.85
Maximum at t = 430.22, mx = 0.80
Maximum at t = 430.64, mx = 0.85
Maximum at t = 431.44, mx = 0.81
Maximum at t = 431.87, mx = 0.85
Maximum at t = 432.72, mx = 0.81
Maximum at t = 433.15, mx = 0.86
Maximum at t = 433.95, mx = 0.81
Maximum at t = 434.38, mx = 0.86
Maximum at t = 435.23, mx = 0.81
Maximum at t = 435.66, mx = 0.85
Maximum at t = 436.51, mx = 0.81
Maximum at t = 436.88, mx = 0.85
Maximum at t = 437.74, mx = 0.80
Maximum at t = 438.16, mx = 0.85
Maximum at t = 439.02, mx = 0.80
Maximum at t = 439.39, mx = 0.85
Maximum at t = 440.24, mx = 0.80
Maximum at t = 440.67, mx = 0.84
Maximum at t = 441.52, mx = 0.80
Maximum at t = 441.90, mx = 0.84
Maximum at t = 442.75, mx = 0.80
Maximum at t = 443.18, mx = 0.85
Maximum at t = 444.03, mx = 0.80
Maximum at t = 444.46, mx = 0.85
Maximum at t = 445.26, mx = 0.80
Maximum at t = 445.68, mx = 0.85
Maximum at t = 446.54, mx = 0.81
Maximum at t = 446.96, mx = 0.85
Maximum at t = 447.82, mx = 0.81
Maximum at t = 448.19, mx = 0.86
Maximum at t = 449.04, mx = 0.81
Maximum at t = 449.47, mx = 0.85
Maximum at t = 450.32, mx = 0.81
Maximum at t = 450.70, mx = 0.85
Maximum at t = 451.55, mx = 0.81
Maximum at t = 451.98, mx = 0.85
Maximum at t = 452.83, mx = 0.80
Maximum at t = 453.20, mx = 0.85
Maximum at t = 454.06, mx = 0.80
Maximum at t = 454.48, mx = 0.85
Maximum at t = 455.34, mx = 0.80
Maximum at t = 455.76, mx = 0.85
Maximum at t = 456.56, mx = 0.80
Maximum at t = 456.99, mx = 0.85
Maximum at t = 457.84, mx = 0.80
Maximum at t = 458.27, mx = 0.85
Maximum at t = 459.12, mx = 0.80
Maximum at t = 459.50, mx = 0.85
Maximum at t = 460.35, mx = 0.81
Maximum at t = 460.78, mx = 0.85
Maximum at t = 461.63, mx = 0.81
Maximum at t = 462.00, mx = 0.85
Maximum at t = 462.86, mx = 0.81
Maximum at t = 463.28, mx = 0.85
Maximum at t = 464.14, mx = 0.81
Maximum at t = 464.56, mx = 0.85
Maximum at t = 465.36, mx = 0.81
Maximum at t = 465.79, mx = 0.85
Maximum at t = 466.64, mx = 0.80
Maximum at t = 467.07, mx = 0.85
Maximum at t = 467.92, mx = 0.80
Maximum at t = 468.30, mx = 0.85
Maximum at t = 469.15, mx = 0.80
Maximum at t = 469.58, mx = 0.85
Maximum at t = 470.43, mx = 0.80
Maximum at t = 470.80, mx = 0.85
Maximum at t = 471.66, mx = 0.80
Maximum at t = 472.08, mx = 0.85
Maximum at t = 472.94, mx = 0.80
Maximum at t = 473.36, mx = 0.85
Maximum at t = 474.16, mx = 0.81
Maximum at t = 474.59, mx = 0.85
Maximum at t = 475.45, mx = 0.81
Maximum at t = 475.87, mx = 0.85
Maximum at t = 476.67, mx = 0.81
Maximum at t = 477.10, mx = 0.85
Maximum at t = 477.95, mx = 0.81
Maximum at t = 478.38, mx = 0.85
Maximum at t = 479.23, mx = 0.81
Maximum at t = 479.61, mx = 0.85
Maximum at t = 480.46, mx = 0.80
Maximum at t = 480.89, mx = 0.85
Maximum at t = 481.74, mx = 0.80
Maximum at t = 482.11, mx = 0.85
Maximum at t = 482.97, mx = 0.80
Maximum at t = 483.39, mx = 0.85
Maximum at t = 484.25, mx = 0.80
Maximum at t = 484.67, mx = 0.85
Maximum at t = 485.47, mx = 0.80
Maximum at t = 485.90, mx = 0.85
Maximum at t = 486.75, mx = 0.80
Maximum at t = 487.18, mx = 0.85
Maximum at t = 487.98, mx = 0.80
Maximum at t = 488.41, mx = 0.85
Maximum at t = 489.26, mx = 0.81
Maximum at t = 489.69, mx = 0.85
Maximum at t = 490.54, mx = 0.81
Maximum at t = 490.91, mx = 0.85
Maximum at t = 491.77, mx = 0.81
Maximum at t = 492.19, mx = 0.85
Maximum at t = 493.05, mx = 0.81
Maximum at t = 493.42, mx = 0.85
Maximum at t = 494.27, mx = 0.80
Maximum at t = 494.70, mx = 0.85
Maximum at t = 495.55, mx = 0.80
Maximum at t = 495.98, mx = 0.85
Maximum at t = 496.78, mx = 0.80
Maximum at t = 497.21, mx = 0.85
Maximum at t = 498.06, mx = 0.80
Maximum at t = 498.49, mx = 0.85
Maximum at t = 499.34, mx = 0.80
Maximum at t = 499.71, mx = 0.85
Maximum at t = 500.57, mx = 0.80
Maximum at t = 500.99, mx = 0.85
Maximum at t = 501.85, mx = 0.80
Maximum at t = 502.22, mx = 0.85
Maximum at t = 503.07, mx = 0.81
Maximum at t = 503.50, mx = 0.85
Maximum at t = 504.35, mx = 0.81
Maximum at t = 504.73, mx = 0.85
Maximum at t = 505.58, mx = 0.81
Maximum at t = 506.01, mx = 0.85
Maximum at t = 506.86, mx = 0.81
Maximum at t = 507.29, mx = 0.85
Maximum at t = 508.14, mx = 0.80
Maximum at t = 508.51, mx = 0.85
Maximum at t = 509.37, mx = 0.80
